"Title","FunctionCall","Description","BiocVersion","DatasetVersion","SourceUrl","SourceVersion","RDataClass","LocationPrefix","RDataPath","DataType","DatasetType","Notes","SourceType","DispatchClass","Genome","Coordinate_1_based","Species","TaxonomyId","DataProvider","Maintainer"
"HochSchulz_2022_Melanoma - rna - masks - v1","HochSchulz_2022_Melanoma(data_type = 'masks', panel = 'rna')","Cell masks (RNA panel, subset) for the HochSchulz_2022_Melanoma IMC dataset","3.17","v1","https://doi.org/10.5281/zenodo.5994136","Feb 07 2022","CytoImageList","https://zenodo.org/","records/20623014/files/masks_rna.rds","masks","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"HochSchulz_2022_Melanoma - rna - sce - v1 - full","HochSchulz_2022_Melanoma(data_type = 'sce', panel = 'rna', full_dataset = TRUE)","Single cell data (RNA panel, full dataset) for the HochSchulz_2022_Melanoma IMC dataset","3.17","v1","https://doi.org/10.5281/zenodo.5994136","Feb 07 2022","SingleCellExperiment","https://zenodo.org/","records/20623014/files/sce_full_rna.rds","sce","full dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"HochSchulz_2022_Melanoma - rna - masks - v1 - full","HochSchulz_2022_Melanoma(data_type = 'masks', panel = 'rna', full_dataset = TRUE)","Cell masks (RNA panel, full dataset) for the HochSchulz_2022_Melanoma IMC dataset","3.17","v1","https://doi.org/10.5281/zenodo.5994136","Feb 07 2022","CytoImageList","https://zenodo.org/","records/20623014/files/masks_full_rna.rds","masks","full dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"HochSchulz_2022_Melanoma - protein - sce - v1","HochSchulz_2022_Melanoma(data_type = 'sce', panel = 'protein')","Single cell data (Protein panel, subset) for the HochSchulz_2022_Melanoma IMC dataset","3.17","v1","https://doi.org/10.5281/zenodo.5994136","Feb 07 2022","SingleCellExperiment","https://zenodo.org/","records/20623014/files/sce_protein.rds","sce","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"HochSchulz_2022_Melanoma - protein - images - v1","HochSchulz_2022_Melanoma(data_type = 'images', panel = 'protein')","Multichannel images (Protein panel, subset) for the HochSchulz_2022_Melanoma IMC dataset","3.17","v1","https://doi.org/10.5281/zenodo.5994136","Feb 07 2022","CytoImageList","https://zenodo.org/","records/20623014/files/images_protein.rds","images","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"HochSchulz_2022_Melanoma - protein - masks - v1","HochSchulz_2022_Melanoma(data_type = 'masks', panel = 'protein')","Cell masks (Protein panel, subset) for the HochSchulz_2022_Melanoma IMC dataset","3.17","v1","https://doi.org/10.5281/zenodo.5994136","Feb 07 2022","CytoImageList","https://zenodo.org/","records/20623014/files/masks_protein.rds","masks","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"HochSchulz_2022_Melanoma - protein - sce - v1 - full","HochSchulz_2022_Melanoma(data_type = 'sce', panel = 'protein', full_dataset = TRUE)","Single cell data (Protein panel, full dataset) for the HochSchulz_2022_Melanoma IMC dataset","3.17","v1","https://doi.org/10.5281/zenodo.5994136","Feb 07 2022","SingleCellExperiment","https://zenodo.org/","records/20623014/files/sce_full_protein.rds","sce","full dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"HochSchulz_2022_Melanoma - protein - masks - v1 - full","HochSchulz_2022_Melanoma(data_type = 'masks', panel = 'protein', full_dataset = TRUE)","Cell masks (Protein panel, full dataset) for the HochSchulz_2022_Melanoma IMC dataset","3.17","v1","https://doi.org/10.5281/zenodo.5994136","Feb 07 2022","CytoImageList","https://zenodo.org/","records/20623014/files/masks_full_protein.rds","masks","full dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"IMMUcan_2022_CancerExample - sce - v1","IMMUcan_2022_CancerExample(data_type = 'sce')","Single cell data for the IMMUcan_2022_CancerExample IMC dataset","3.17","v1","https://zenodo.org/record/6810879","Sep 14 2022","SingleCellExperiment","https://zenodo.org/","records/20624292/files/sce.rds","sce","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"IMMUcan_2022_CancerExample - images - v1","IMMUcan_2022_CancerExample(data_type = 'images')","Multichannel images for the IMMUcan_2022_CancerExample IMC dataset","3.17","v1","https://zenodo.org/record/6810879","Sep 14 2022","CytoImageList","https://zenodo.org/","records/20624292/files/images.rds","images","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"IMMUcan_2022_CancerExample - masks - v1","IMMUcan_2022_CancerExample(data_type = 'masks')","Cell masks for the IMMUcan_2022_CancerExample IMC dataset","3.17","v1","https://zenodo.org/record/6810879","Sep 14 2022","CytoImageList","https://zenodo.org/","records/20624292/files/masks.rds","masks","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Meyer_2025_TripleNegativeBreastCancer - sce - v1","Meyer_2025_TripleNegativeBreastCancer(data_type = 'sce')","Single cell data (subset) for the Meyer_2025_TripleNegativeBreastCancer IMC dataset","3.24","v1","https://zenodo.org/records/15304181","Jan 09 2026","SingleCellExperiment","https://zenodo.org/","records/20541924/files/sce.rds","sce","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Meyer_2025_TripleNegativeBreastCancer - images - v1","Meyer_2025_TripleNegativeBreastCancer(data_type = 'images')","Multichannel images (subset) for the Meyer_2025_TripleNegativeBreastCancer IMC dataset","3.24","v1","https://zenodo.org/records/15304181","Jan 09 2026","CytoImageList","https://zenodo.org/","records/20541924/files/images.rds","images","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Meyer_2025_TripleNegativeBreastCancer - masks - v1","Meyer_2025_TripleNegativeBreastCancer(data_type = 'masks')","Cell masks (subset) for the Meyer_2025_TripleNegativeBreastCancer IMC dataset","3.24","v1","https://zenodo.org/records/15304181","Jan 09 2026","CytoImageList","https://zenodo.org/","records/20541924/files/masks.rds","masks","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Meyer_2025_TripleNegativeBreastCancer - sce - v1 - full","Meyer_2025_TripleNegativeBreastCancer(data_type = 'sce', full_dataset = TRUE)","Single cell data (full dataset) for the Meyer_2025_TripleNegativeBreastCancer IMC dataset","3.24","v1","https://zenodo.org/records/15304181","Jan 09 2026","SingleCellExperiment","https://zenodo.org/","records/20541924/files/sce_full.rds","sce","full dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Meyer_2025_TripleNegativeBreastCancer - masks - v1 - full","Meyer_2025_TripleNegativeBreastCancer(data_type = 'masks', full_dataset = TRUE)","Cell masks (full dataset) for the Meyer_2025_TripleNegativeBreastCancer IMC dataset","3.24","v1","https://zenodo.org/records/15304181","Jan 09 2026","CytoImageList","https://zenodo.org/","records/20541924/files/masks_full.rds","masks","full dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer_Basel - sce - v2","JacksonFischer_2020_BreastCancer(data_type = 'sce')","Single cell data (Basel cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.17","v2","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","SingleCellExperiment","https://zenodo.org/","records/20621983/files/sce_basel.rds","sce","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer_Basel - images - v2","JacksonFischer_2020_BreastCancer(data_type = 'images')","Multichannel images (Basel cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.17","v2","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","CytoImageList","https://zenodo.org/","records/20621983/files/images_basel.rds","images","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer_Basel - masks - v2","JacksonFischer_2020_BreastCancer(data_type = 'masks')","Cell masks (Basel cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.17","v2","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","CytoImageList","https://zenodo.org/","records/20621983/files/masks_basel.rds","masks","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer_Zurich - sce - v2","JacksonFischer_2020_BreastCancer(data_type = 'sce', cohort = 'Zurich')","Single cell data (Zurich cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.17","v2","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","SingleCellExperiment","https://zenodo.org/","records/20621983/files/sce_zurich.rds","sce","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer_Zurich - images - v2","JacksonFischer_2020_BreastCancer(data_type = 'images', cohort = 'Zurich')","Multichannel images (Zurich cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.17","v2","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","CytoImageList","https://zenodo.org/","records/20621983/files/images_zurich.rds","images","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer_Zurich - masks - v2","JacksonFischer_2020_BreastCancer(data_type = 'masks', cohort = 'Zurich')","Cell masks (Zurich cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.17","v2","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","CytoImageList","https://zenodo.org/","records/20621983/files/masks_zurich.rds","masks","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer - sce - v2 - full","JacksonFischer_2020_BreastCancer(data_type = 'sce', full_dataset = TRUE)","Single cell data (full dataset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.17","v2","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","SingleCellExperiment","https://zenodo.org/","records/20621983/files/sce_full.rds","sce","full dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer - masks - v2 - full","JacksonFischer_2020_BreastCancer(data_type = 'masks', full_dataset = TRUE)","Cell masks (full dataset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.17","v2","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","CytoImageList","https://zenodo.org/","records/20621983/files/masks_full.rds","masks","full dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer - sce - v1","JacksonFischer_2020_BreastCancer(data_type = 'sce', dataset_version = 'v1')","Single cell data (Basel cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.16","v1","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","SingleCellExperiment","https://zenodo.org/","records/20621819/files/sce.rds","sce","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer - images - v1","JacksonFischer_2020_BreastCancer(data_type = 'images', dataset_version = 'v1')","Multichannel images (Basel cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.16","v1","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","CytoImageList","https://zenodo.org/","records/20621819/files/images.rds","images","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer - masks - v1","JacksonFischer_2020_BreastCancer(data_type = 'masks', dataset_version = 'v1')","Cell masks (Basel cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.16","v1","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","CytoImageList","https://zenodo.org/","records/20621819/files/masks.rds","masks","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer - sce - v0","JacksonFischer_2020_BreastCancer(data_type = 'sce', dataset_version = 'v0')","Single cell data (Basel cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.13","v0","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","SingleCellExperiment","https://zenodo.org/","records/20621736/files/sce.rds","sce","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer - images - v0","JacksonFischer_2020_BreastCancer(data_type = 'images', dataset_version = 'v0')","Multichannel images (Basel cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.13","v0","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","CytoImageList","https://zenodo.org/","records/20621736/files/images.rds","images","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"JacksonFischer_2020_BreastCancer - masks - v0","JacksonFischer_2020_BreastCancer(data_type = 'masks', dataset_version = 'v0')","Cell masks (Basel cohort subset) for the JacksonFischer_2020_BreastCancer IMC dataset","3.13","v0","https://doi.org/10.5281/zenodo.3518284","Nov 04 2019","CytoImageList","https://zenodo.org/","records/20621736/files/masks.rds","masks","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Zanotelli_2020_Spheroids - sce - v1","Zanotelli_2020_Spheroids(data_type = 'sce')","Single cell data for the Zanotelli_2020_Spheroids IMC dataset","3.16","v1","https://zenodo.org/record/4271910#.YGWR_T8kz-i","Aug 20 2020","SingleCellExperiment","https://zenodo.org/","records/20624243/files/sce.rds","sce","full and matched dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Zanotelli_2020_Spheroids - images - v1","Zanotelli_2020_Spheroids(data_type = 'images')","Multichannel images for the Zanotelli_2020_Spheroids IMC dataset","3.16","v1","https://zenodo.org/record/4271910#.YGWR_T8kz-i","Aug 20 2020","CytoImageList","https://zenodo.org/","records/20624243/files/images.rds","images","full and matched dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Zanotelli_2020_Spheroids - masks - v1","Zanotelli_2020_Spheroids(data_type = 'masks')","Cell masks for the Zanotelli_2020_Spheroids IMC dataset","3.16","v1","https://zenodo.org/record/4271910#.YGWR_T8kz-i","Aug 20 2020","CytoImageList","https://zenodo.org/","records/20624243/files/masks.rds","masks","full and matched dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Zanotelli_2020_Spheroids - sce - v0","Zanotelli_2020_Spheroids(data_type = 'sce', dataset_version = 'v0')","Single cell data for the Zanotelli_2020_Spheroids IMC dataset","3.13","v0","https://zenodo.org/record/4271910#.YGWR_T8kz-i","Aug 20 2020","SingleCellExperiment","https://zenodo.org/","records/20623997/files/sce.rds","sce","full and matched dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Zanotelli_2020_Spheroids - images - v0","Zanotelli_2020_Spheroids(data_type = 'images', dataset_version = 'v0')","Multichannel images for the Zanotelli_2020_Spheroids IMC dataset","3.13","v0","https://zenodo.org/record/4271910#.YGWR_T8kz-i","Aug 20 2020","CytoImageList","https://zenodo.org/","records/20623997/files/images.rds","images","full and matched dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Zanotelli_2020_Spheroids - masks - v0","Zanotelli_2020_Spheroids(data_type = 'masks', dataset_version = 'v0')","Cell masks for the Zanotelli_2020_Spheroids IMC dataset","3.13","v0","https://zenodo.org/record/4271910#.YGWR_T8kz-i","Aug 20 2020","CytoImageList","https://zenodo.org/","records/20623997/files/masks.rds","masks","full and matched dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
